Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
NORTH,Los Angeles,Los Angeles,34.0549,-118.2445,9/2/2007,9/8/2007,USFS,2200,LIGHTNING
LICK,Santa Clara,Saratoga,37.2638,-122.0231,9/3/2007,9/11/2007,CDF,47760,DEBRIS
MOONLIGHT,Plumas,East Quincy,39.9341,-120.8981,9/3/2007,9/15/2007,USFS,64997,UI
BALD,Tuolumne,Tuolumne,37.9608,-120.2375,9/6/2007,9/10/2007,NPS,425,LIGHTNING
PINE,San Diego,San Diego,32.7174,-117.1628,9/12/2007,9/16/2007,USFS,2170,HUMAN
BUTLER 2,San Bernardino,San Bernardino,34.1083,-117.2898,9/14/2007,10/1/2007,USFS,14039,UI
ANGEL,San Diego,San Diego,32.7174,-117.1628,9/15/2007,9/21/2007,CDF,837,CAMPFIRE
RANCH,Angeles NF,Falling Springs,34.3017,-117.8393,10/20/2007,10/30/2007,USFS,58401,UI
MCCOY,San Diego,San Diego,32.7174,-117.1628,10/21/2007,10/25/2007,USFS,353,UI
SEDGEWICK,Santa Barbara,Santa Barbara,34.4221,-119.7027,10/21/2007,10/23/2007,USFS,710,UI
CANYON,Los Angeles,Los Angeles,34.0549,-118.2445,10/21/2007,10/27/2007,CDF,4521,UI
SANTIAGO,Orange,Lake Forest,33.6469,-117.686,10/21/2007,11/8/2007,CDF,28400,HUMAN
BUCKWEED,Los Angeles,Los Angeles,34.0549,-118.2445,10/21/2007,10/26/2007,CDF,38356,UI
HARRIS,San Diego,San Diego,32.7174,-117.1628,10/21/2007,11/9/2007,CDF,90440,UNDET.
WITCH,San Diego,San Diego,32.7174,-117.1628,10/21/2007,10/31/2007,CDF,197990,EQUIP. USE
CORONADO HILLS,San Diego,San Diego,32.7174,-117.1628,10/22/2007,10/23/2007,SMC,300,UI
GRASS VALLEY,San Bernardino,San Bernardino,34.1083,-117.2898,10/22/2007,10/29/2007,USFS,1247,UI
MAGIC,Los Angeles,Los Angeles,34.0549,-118.2445,10/22/2007,10/27/2007,CDF,2824,UI
RICE,San Diego,San Diego,32.7174,-117.1628,10/22/2007,11/5/2007,CDF,9472,HUMAN/OTHER
